Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Solo Kills
39.0,0.282,1.9,2.2,3.3,4.2,7.6,374,0.5579999999999999,0.256,463,0.45,0.16,0.2,-174,-7,-328,0.10300000000000001,0.179,9
53.0,0.604,4.7,2.4,1.5,4.7,7.5,368,0.524,0.187,335,0.42,0.22,0.21,75,-1,61,0.245,0.094,5
46.0,0.7170000000000001,3,2.8,2.6,4.9,8.3,399,0.616,0.26899999999999996,531,0.4,0.25,0.17,361,14,229,0.174,0.261,19
41.0,0.512,3.1,2.1,2.3,5.0,7.6,365,0.562,0.21899999999999997,370,0.45,0.13,0.17,-165,-6,-24,0.195,0.122,12
46.0,0.435,2.5,2.0,2.5,4.3,7.8,376,0.5670000000000001,0.22399999999999998,409,0.46,0.09,0.15,-4,-2,-228,0.109,0.109,6
18.0,0.222,1.2,2.3,4.0,2.6,6.9,334,0.6,0.215,343,0.36,0.15,0.11,-617,-16,-541,0.16699999999999998,0.278,2
20.0,0.35,2.3,2.1,2.6,3.9,7.6,359,0.643,0.22,368,0.48,0.19,0.21,45,2,112,0.1,0.1,3
14.0,0.429,2.1,2.1,3.1,4.5,6.5,334,0.525,0.217,390,0.5,0.11,0.21,-258,-17,-296,0.214,0.14300000000000002,4
13.0,0.154,1.6,1.6,3.1,3.3,7.2,337,0.47700000000000004,0.209,321,0.39,0.13,0.1,-641,-11,-163,0.077,0.077,1
24.0,0.20800000000000002,1.7,2.7,4.4,5.0,7.3,362,0.562,0.249,493,0.48,0.16,0.17,10,3,-73,0.20800000000000002,0.16699999999999998,12
20.0,0.25,1.8,3.0,4.5,4.8,7.6,367,0.47100000000000003,0.209,411,0.46,0.14,0.15,-151,11,-28,0.2,0.15,12
20.0,0.4,2.6,3.0,2.7,4.1,7.7,370,0.617,0.27699999999999997,469,0.38,0.2,0.11,239,1,28,0.2,0.05,6
13.0,0.385,2.1,1.7,3.5,5.6,6.7,349,0.59,0.24100000000000002,446,0.47,0.16,0.19,-73,0,-94,0.308,0.231,4
35.0,0.486,2.3,3.0,3.7,5.4,7.1,373,0.594,0.22,423,0.38,0.18,0.12,-509,-13,-573,0.171,0.2,10
55.0,0.527,3.2,3.2,2.6,5.2,7.3,375,0.599,0.22699999999999998,428,0.48,0.21,0.24,-48,-5,-46,0.2,0.073,9
19.0,0.526,2,2.8,3.4,3.8,7.9,397,0.501,0.258,469,0.45,0.17,0.19,232,1,-69,0.316,0.263,7
88.0,0.648,4,3.3,2.5,6.6,8.0,400,0.5770000000000001,0.213,446,0.45,0.13,0.16,604,11,438,0.159,0.102,42
112.0,0.518,2.9,2.8,2.6,4.7,8.4,393,0.613,0.259,465,0.48,0.22,0.2,192,8,176,0.304,0.125,40
15.0,0.2,1.1,1.7,4.3,3.3,7.1,346,0.5589999999999999,0.252,431,0.51,0.21,0.22,-464,-4,-18,0.133,0.33299999999999996,2
18.0,0.444,3.9,2.1,1.9,5.4,7.3,352,0.629,0.20199999999999999,368,0.41,0.16,0.13,-233,-5,-75,0.16699999999999998,0.111,1
42.0,0.5479999999999999,3,3.5,2.5,3.9,8.6,420,0.5579999999999999,0.24600000000000002,476,0.4,0.13,0.11,381,9,415,0.214,0.071,13
18.0,0.16699999999999998,1.8,2.4,3.5,3.8,7.5,361,0.601,0.266,420,0.51,0.17,0.22,208,9,205,0.278,0.111,8
27.0,0.222,2.4,2.1,2.9,5.0,6.9,343,0.534,0.17800000000000002,326,0.48,0.1,0.21,-531,-7,-293,0.0,0.14800000000000002,2
56.0,0.5,2.2,2.1,2.9,4.0,7.7,364,0.5479999999999999,0.20600000000000002,386,0.51,0.15,0.23,-281,-1,-220,0.179,0.14300000000000002,1
12.0,0.41700000000000004,2,3.0,3.8,4.5,8.4,390,0.56,0.294,529,0.34,0.19,0.05,985,28,434,0.25,0.083,9
29.0,0.172,1.1,1.2,4.4,3.6,7.0,331,0.489,0.217,353,0.45,0.17,0.21,-466,-1,-390,0.10300000000000001,0.276,7
61.0,0.574,2.8,3.5,3.3,5.8,7.4,381,0.605,0.21,417,0.41,0.21,0.18,-136,-5,-43,0.19699999999999998,0.19699999999999998,28
36.0,0.361,2.4,2.4,3.0,4.7,7.6,368,0.602,0.24,414,0.4,0.19,0.17,-269,-6,-178,0.16699999999999998,0.111,9
133.0,0.564,3.4,2.6,2.4,5.6,7.9,382,0.609,0.21899999999999997,399,0.42,0.17,0.13,-154,-1,74,0.105,0.075,17
29.0,0.483,2,1.8,2.8,3.6,7.5,369,0.527,0.217,373,0.4,0.15,0.1,259,-2,99,0.276,0.276,13
