Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Penta Kills,Solo Kills
14,0.28600000000000003,2.4,2.6,3.0,4.6,7.4,355,0.624,0.26,408,0.78,0.37,0.13,0.12,-190,-2,-75,0.214,0.14300000000000002,0,4
61,0.607,3,3.2,3.1,6.3,7.1,376,0.596,0.215,419,1.07,0.5,0.19,0.19,259,5,65,0.131,0.14800000000000002,0,30
8,0.5,2.7,2.4,3.5,7.0,6.8,366,0.547,0.203,411,1.21,0.55,0.25,0.22,-38,-15,-337,0.375,0.125,0,3
1,0.0,2,3.0,2.0,1.0,9.0,424,0.667,0.28,259,0.78,0.28,0.21,0,-756,-15,-410,0.0,0.0,0,0
50,0.6,2.8,2.9,2.9,5.4,7.5,379,0.605,0.249,472,0.92,0.4,0.18,0.15,211,4,90,0.2,0.08,0,17
16,0.375,2.2,2.6,4.1,6.4,5.8,320,0.527,0.182,402,0.98,0.5,0.14,0.25,-718,-20,-527,0.188,0.125,0,3
2,0.0,1.3,3.0,4.0,2.0,7.4,352,0.263,0.22899999999999998,464,0.58,0.3,0.07,0.1,-1173,-40,-1362,0.0,0.0,0,0
128,0.625,3,2.5,2.5,5.1,8.5,395,0.597,0.217,424,1.02,0.47,0.18,0.17,114,5,126,0.18,0.22699999999999998,0,44
30,0.5329999999999999,4,2.5,2.2,6.3,7.3,369,0.551,0.226,455,1.02,0.46,0.15,0.2,292,4,115,0.16699999999999998,0.16699999999999998,0,11
18,0.33299999999999996,2,2.3,3.2,4.1,7.2,355,0.51,0.22699999999999998,410,0.79,0.37,0.15,0.11,-115,-3,-77,0.055999999999999994,0.111,0,7
42,0.7859999999999999,4.4,3.0,2.1,6.1,7.6,387,0.5429999999999999,0.20600000000000002,420,0.84,0.42,0.09,0.11,378,8,199,0.28600000000000003,0.048,0,15
21,0.619,3.9,4.7,2.3,4.4,8.4,431,0.519,0.23,451,1.09,0.5,0.11,0.22,576,9,340,0.381,0.28600000000000003,0,18
3,0.33299999999999996,1.6,1.7,4.0,4.7,8.3,408,0.5489999999999999,0.313,574,0.95,0.38,0.19,0.15,1403,15,836,0.0,0.33299999999999996,0,0
31,0.226,1.6,2.4,3.6,3.5,8.0,369,0.591,0.237,405,0.93,0.49,0.16,0.23,-113,2,97,0.226,0.226,0,14
29,0.207,2,2.4,3.0,3.4,7.5,358,0.5,0.215,354,0.78,0.39,0.08,0.11,-605,-13,-238,0.10300000000000001,0.207,0,13
11,0.0,0.9,1.3,5.5,3.5,6.7,325,0.604,0.221,323,1.16,0.57,0.17,0.28,-644,-13,-416,0.273,0.364,0,2
